Store,Date,Month,Year,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,February,2010,1643690.9,0,42.31,2.57,211.1,8.11
1,12-02-2010,February,2010,1641957.44,1,38.51,2.55,211.24,8.11
1,19-02-2010,February,2010,1611968.17,0,39.93,2.51,211.29,8.11
1,26-02-2010,February,2010,1409727.59,0,46.63,2.56,211.32,8.11
1,05-03-2010,March,2010,1554806.68,0,46.5,2.63,211.35,8.11
1,12-03-2010,March,2010,1439541.59,0,57.79,2.67,211.38,8.11
1,19-03-2010,March,2010,1472515.79,0,54.58,2.72,211.22,8.11
1,26-03-2010,March,2010,1404429.92,0,51.45,2.73,211.02,8.11
1,02-04-2010,April,2010,1594968.28,0,62.27,2.72,210.82,7.81
1,09-04-2010,April,2010,1545418.53,0,65.86,2.77,210.62,7.81
1,16-04-2010,April,2010,1466058.28,0,66.32,2.81,210.49,7.81
1,23-04-2010,April,2010,1391256.12,0,64.84,2.8,210.44,7.81
1,30-04-2010,April,2010,1425100.71,0,67.41,2.78,210.39,7.81
1,07-05-2010,May,2010,1603955.12,0,72.55,2.84,210.34,7.81
1,14-05-2010,May,2010,1494251.5,0,74.78,2.85,210.34,7.81
1,21-05-2010,May,2010,1399662.07,0,76.44,2.83,210.62,7.81
1,28-05-2010,May,2010,1432069.95,0,80.44,2.76,210.9,7.81
1,04-06-2010,June,2010,1615524.71,0,80.69,2.71,211.18,7.81
1,11-06-2010,June,2010,1542561.09,0,80.43,2.67,211.46,7.81
1,18-06-2010,June,2010,1503284.06,0,84.11,2.64,211.45,7.81
1,25-06-2010,June,2010,1422711.6,0,84.34,2.65,211.34,7.81
1,02-07-2010,July,2010,1492418.14,0,80.91,2.67,211.22,7.79
1,09-07-2010,July,2010,1546074.18,0,80.48,2.64,211.11,7.79
1,16-07-2010,July,2010,1448938.92,0,83.15,2.62,211.1,7.79
1,23-07-2010,July,2010,1385065.2,0,83.36,2.61,211.24,7.79
1,30-07-2010,July,2010,1371986.6,0,81.84,2.64,211.37,7.79
1,06-08-2010,August,2010,1605491.78,0,87.16,2.63,211.5,7.79
1,13-08-2010,August,2010,1508237.76,0,87,2.69,211.64,7.79
1,20-08-2010,August,2010,1513080.49,0,86.65,2.66,211.6,7.79
1,27-08-2010,August,2010,1449142.92,0,85.22,2.62,211.57,7.79
1,03-09-2010,September,2010,1540163.53,0,81.21,2.58,211.53,7.79
1,10-09-2010,September,2010,1507460.69,1,78.69,2.57,211.5,7.79
1,17-09-2010,September,2010,1430378.67,0,82.11,2.58,211.52,7.79
1,24-09-2010,September,2010,1351791.03,0,80.94,2.62,211.6,7.79
1,01-10-2010,October,2010,1453329.5,0,71.89,2.6,211.67,7.84
1,08-10-2010,October,2010,1508239.93,0,63.93,2.63,211.75,7.84
1,15-10-2010,October,2010,1459409.1,0,67.18,2.72,211.81,7.84
1,22-10-2010,October,2010,1345454,0,69.86,2.73,211.86,7.84
1,29-10-2010,October,2010,1384209.22,0,69.64,2.72,211.91,7.84
1,05-11-2010,November,2010,1551659.28,0,58.74,2.69,211.96,7.84
1,12-11-2010,November,2010,1494479.49,0,59.61,2.73,212,7.84
